Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
340,圣,12173,259.88,4.0854,2880,46.13,3.4594,shèng,sheng,4,sh,eng,⿱又土,⿱,⿱又土
341,对,191793,4094.55,5.2828,6236,99.89,3.7949,duì,dui,4,d,ui,⿰又寸,⿰,⿰又寸
342,台,13404,286.16,4.1272,3697,59.22,3.5678,tái,tai,2,t,ai,⿱厶口,⿱,⿱厶口
343,矛,752,16.05,2.8762,560,8.97,2.7482,máo,mao,2,m,ao,⿱龴⿹𠄐丿,⿱,⿱龴⿹𠄐丿
344,纠,918,19.6,2.9628,731,11.71,2.8639,jiū,jiu,1,j,iu,⿰纟丩,⿰,⿰纟丩
345,母,15556,332.1,4.1919,4132,66.19,3.6162,mǔ,mu,3,m,u,母,S,母
346,幼,937,20,2.9717,646,10.35,2.8102,yòu,you,4,y,ou,⿰幺力,⿰,⿰幺力
347,丝,6698,142.99,3.8259,2119,33.94,3.3261,sī,si,1,s,i,⿱⿰②②一,⿱,⿱⿰②②一
348,邦,3240,69.17,3.5105,1166,18.68,3.0667,bāng,bang,1,b,ang,⿰丰阝,⿰,⿰丰阝
349,式,12142,259.22,4.0843,4521,72.42,3.6552,shì,shi,4,sh,i,⿹弋工,⿹,⿹弋工
350,迂,54,1.15,1.7324,48,0.77,1.6812,yū,yu,1,y,u,⿺辶于,⿺,⿺辶于
351,刑,2801,59.8,3.4473,1233,19.75,3.091,xíng,xing,2,x,ing,⿰开刂,⿰,⿰开刂
352,戎,11,0.23,1.0414,10,0.16,1,róng,rong,2,r,ong,⿹戈𠂇,⿹,⿹戈𠂇
353,动,49274,1051.94,4.6926,6044,96.81,3.7813,dòng,dong,4,d,ong,⿰云力,⿰,⿰云力
354,扛,159,3.39,2.2014,138,2.21,2.1399,káng,kang,2,k,ang,⿰扌工,⿰,⿰扌工
355,寺,397,8.48,2.5988,148,2.37,2.1703,sì,si,4,s,i,⿱土寸,⿱,⿱土寸
356,吉,8890,189.79,3.9489,1813,29.04,3.2584,jí,ji,2,j,i,⿱士口,⿱,⿱士口
357,扣,1912,40.82,3.2815,1200,19.22,3.0792,kòu,kou,4,k,ou,⿰扌口,⿰,⿰扌口
358,考,11613,247.92,4.0649,4125,66.07,3.6154,kǎo,kao,3,k,ao,⿸耂丂,⿸,⿸耂丂
359,托,16277,347.49,4.2116,4220,67.6,3.6253,tuō,tuo,1,t,uo,⿰扌乇,⿰,⿰扌乇
